subject,phase,trial,group,scr,condition,raw,half,quarter
14,renewal,11,control,0,CS+,0,2,6
14,renewal,12,control,0,CS+,0,2,6
14,renewal,1,control,0,CS-,0,1,5
14,renewal,2,control,0,CS-,0,1,5
14,renewal,3,control,0,CS-,0,1,5
14,renewal,4,control,0,CS-,0,1,5
14,renewal,5,control,0,CS-,0,2,6
14,renewal,6,control,0,CS-,0,2,6
14,renewal,7,control,0,CS-,0,2,6
14,renewal,8,control,0,CS-,0,2,6
14,renewal,9,control,0,CS-,0,2,6
14,renewal,10,control,0,CS-,0,2,6
14,renewal,11,control,0,CS-,0,2,6
14,renewal,12,control,0,CS-,0,2,6
15,renewal,1,control,0,CS+,0,1,5
15,renewal,2,control,0,CS+,0,1,5
15,renewal,3,control,0,CS+,0,1,5
15,renewal,4,control,0,CS+,0,1,5
15,renewal,5,control,0,CS+,0,2,6
15,renewal,6,control,0,CS+,0,2,6
15,renewal,7,control,0,CS+,0,2,6
15,renewal,8,control,0,CS+,0,2,6
15,renewal,9,control,0,CS+,0,2,6
15,renewal,10,control,0,CS+,0,2,6
15,renewal,11,control,0,CS+,0,2,6
15,renewal,12,control,0,CS+,0,2,6
15,renewal,1,control,0,CS-,0,1,5
15,renewal,2,control,0,CS-,0,1,5
15,renewal,3,control,0,CS-,0,1,5
15,renewal,4,control,0,CS-,0,1,5
15,renewal,5,control,0,CS-,0,2,6
15,renewal,6,control,0,CS-,0,2,6
15,renewal,7,control,0,CS-,0,2,6
15,renewal,8,control,0,CS-,0,2,6
15,renewal,9,control,0,CS-,0,2,6
15,renewal,10,control,0,CS-,0,2,6
15,renewal,11,control,0,CS-,0,2,6
15,renewal,12,control,0,CS-,0,2,6
16,renewal,1,control,0,CS+,0,1,5
16,renewal,2,control,0.466904701,CS+,0.218,1,5
16,renewal,3,control,0.925742945,CS+,0.857,1,5
16,renewal,4,control,0,CS+,0,1,5
16,renewal,5,control,0,CS+,0,2,6
16,renewal,6,control,0,CS+,0,2,6
16,renewal,7,control,0,CS+,0,2,6
16,renewal,8,control,0,CS+,0,2,6
16,renewal,9,control,0,CS+,0,2,6
16,renewal,10,control,0,CS+,0,2,6
16,renewal,11,control,0,CS+,0,2,6
16,renewal,12,control,0.642650761,CS+,0.413,2,6
16,renewal,1,control,0,CS-,0,1,5
16,renewal,2,control,0,CS-,0,1,5
16,renewal,3,control,0,CS-,0,1,5
16,renewal,4,control,0,CS-,0,1,5
16,renewal,5,control,0,CS-,0,2,6
16,renewal,6,control,0,CS-,0,2,6
16,renewal,7,control,0,CS-,0,2,6
16,renewal,8,control,0,CS-,0,2,6
16,renewal,9,control,0,CS-,0,2,6
16,renewal,10,control,0,CS-,0,2,6
16,renewal,11,control,0,CS-,0,2,6
16,renewal,12,control,0,CS-,0,2,6
17,renewal,1,control,0,CS+,0,1,5
17,renewal,2,control,0,CS+,0,1,5
17,renewal,3,control,0.505964426,CS+,0.256,1,5
17,renewal,4,control,0,CS+,0,1,5
17,renewal,5,control,0,CS+,0,2,6
17,renewal,6,control,0,CS+,0,2,6
17,renewal,7,control,0,CS+,0,2,6
17,renewal,8,control,0,CS+,0,2,6
17,renewal,9,control,0,CS+,0,2,6
17,renewal,10,control,0,CS+,0,2,6
17,renewal,11,control,0,CS+,0,2,6
17,renewal,12,control,0,CS+,0,2,6
17,renewal,1,control,0,CS-,0,1,5
17,renewal,2,control,0,CS-,0,1,5
17,renewal,3,control,0,CS-,0,1,5
17,renewal,4,control,0,CS-,0,1,5
17,renewal,5,control,0,CS-,0,2,6
17,renewal,6,control,0,CS-,0,2,6
17,renewal,7,control,0,CS-,0,2,6
17,renewal,8,control,0,CS-,0,2,6
17,renewal,9,control,0,CS-,0,2,6
17,renewal,10,control,0,CS-,0,2,6
17,renewal,11,control,0,CS-,0,2,6
17,renewal,12,control,0,CS-,0,2,6
18,renewal,1,control,0,CS+,0,1,5
18,renewal,2,control,0,CS+,0,1,5
18,renewal,3,control,0,CS+,0,1,5
18,renewal,4,control,0,CS+,0,1,5
18,renewal,5,control,0,CS+,0,2,6
18,renewal,6,control,0,CS+,0,2,6
18,renewal,7,control,0,CS+,0,2,6
