Phase,Subjects,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Baseline,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan
Baseline,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan
Baseline,104,0.228,0,0,0,0,0.392,0,0,0,0,0.247,0,0,0,0,0.364,0,0,0,0,0,0,0,0,0,0,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan
Baseline,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan
Baseline,106,0,0.289,0.608,0,0,0,0.276,0.296,0.479,0.379,0,0,0,0,0,0,0,0.224,0.267,0.242,0,0,0,0,0.375,0,0,0.688,0,0,0,0,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0.556,0,0.326
Baseline,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseline,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523,0,0,0,0,0,0,0.373,0,0,0
Baseline,109,0,0,0,0,nan,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseline,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseline,111,0.215,0.642,0.227,0.462,0.311,0,0,0,0,0,0.224,0,0,0.798,0.209,0,0,0,0,0,0,0,0,0,0.517,0.83,0.325,0.218,1.004,0.454,0,0,0,0.685,0,0.254,0,0.404,0,0,0,0,0.463,0,0.494,0,0.375,0
Baseline,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0.802,0,0,0,0,0,0,0,0.225,0,0,1.393,0,0.643,0,0,0,0,0,0,0
Baseline,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseline,114,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315,0,0,0,0,0,0
Baseline,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseline,116,2.16,1.057,0,0.407,0,0.885,1.216,2.268,0.907,1.287,0,1.153,0,0,0.277,0.453,0.897,0,0,1.307,0.357,0,1.676,0,0,0.413,0,0.657,0,0,1.605,0,0,0,0,1.492,2.044,2.832,0,0,1.069,0,0,0,0,0.291,0,1.184
Baseline,117,0.28,0,0,0,0,0.201,0,0,0.276,0,0.965,0,0,0.219,0,0,1.55,0,0.242,0.234,0,0,0.253,0,0.358,0,0,0,0,0,0,0,0,0,0,0,0,1.115,0,0,0,0,0,0,0,0,0,0
