subject,stimulus,source_memory,typicality,trial_type,encode_phase,recognition_memory,group,hc_acc
3,animals/ostrich.jpg,3,1,CS+,baseline,DO,healthy,1
3,animals/snail.jpg,2,3,CS+,acquisition,MO,healthy,0
3,animals/ant.jpg,2,3,CS+,acquisition,MO,healthy,0
3,animals/herring.jpg,2,6,CS+,acquisition,MO,healthy,0
3,animals/camel.jpg,3,3,CS+,acquisition,MO,healthy,0
3,animals/baldeagle.jpg,1,6,CS+,acquisition,DN,healthy,0
3,animals/duck.jpg,1,3,CS+,acquisition,MO,healthy,0
3,animals/rabbit.jpg,2,4,CS+,acquisition,DO,healthy,1
3,animals/assassinbug.jpg,2,3,CS+,acquisition,MO,healthy,0
3,animals/skunk.jpg,1,3,CS+,extinction,MO,healthy,0
3,animals/salmon.jpg,1,6,CS+,extinction,MO,healthy,0
3,animals/reindeer.jpg,2,3,CS+,extinction,DN,healthy,0
3,animals/perch.jpg,1,1,CS+,extinction,DO,healthy,1
3,animals/caterpillarhawkmoth.jpg,2,1,CS+,extinction,MO,healthy,0
3,animals/rhino.jpg,3,3,CS+,extinction,MO,healthy,0
3,animals/halibut.jpg,1,1,CS+,extinction,MO,healthy,0
3,animals/cranebug.jpg,2,1,CS+,extinction,MO,healthy,0
3,tools/electricbreaker.jpg,1,3,CS-,baseline,MN,healthy,0
3,tools/weldinghelmet.jpg,1,1,CS-,baseline,DO,healthy,1
3,tools/beadingtool.jpg,1,1,CS-,baseline,DO,healthy,1
3,tools/stove.jpg,2,2,CS-,baseline,MO,healthy,0
3,tools/shoehorn.jpg,2,1,CS-,baseline,DN,healthy,0
3,tools/transmissionwrench.jpg,1,1,CS-,baseline,DN,healthy,0
3,tools/pliers.jpg,3,5,CS-,baseline,MO,healthy,0
3,tools/cheesegrater.jpg,1,6,CS-,baseline,MN,healthy,0
3,tools/vegetablepeeler.jpg,2,3,CS-,acquisition,MN,healthy,0
3,tools/lawnmower.jpg,2,6,CS-,acquisition,DN,healthy,0
3,tools/wrench.jpg,1,7,CS-,acquisition,MO,healthy,0
3,tools/measuringcups.jpg,3,6,CS-,acquisition,MO,healthy,0
