subject,stimulus,source_memory,typicality,trial_type,encode_phase,recognition_memory,trial_number,group,hc_acc
s4,tools/squeegee.jpg,acquisition,4,CS+,extinction,DO,7,healthy,1
s4,tools/sparkplug.jpg,acquisition,1,CS+,acquisition,MO,7,healthy,0
s4,tools/hammer.jpg,extinction,7,CS+,extinction,MO,14,healthy,0
s4,animals/giraffe.jpg,extinction,5,CS-,baseline,DO,3,healthy,1
s4,tools/measuringcups.jpg,acquisition,4,CS+,acquisition,DO,14,healthy,1
s4,animals/mouse.jpg,baseline,5,CS-,acquisition,DO,1,healthy,1
s4,tools/shoehorn.jpg,extinction,1,CS+,baseline,DO,21,healthy,1
s4,tools/rollingpin.jpg,acquisition,6,CS+,baseline,MO,18,healthy,0
s4,animals/turkey.jpg,extinction,3,CS-,acquisition,MN,20,healthy,0
s4,animals/rabbit.jpg,acquisition,7,CS-,acquisition,DO,21,healthy,1
s4,tools/videogamecontroller.jpg,extinction,5,CS+,extinction,DO,21,healthy,1
s4,tools/ropeandpulley.jpg,acquisition,2,CS+,baseline,DO,10,healthy,1
s4,tools/carpetblower.jpg,extinction,2,CS+,extinction,MO,8,healthy,0
s4,animals/ostrich.jpg,acquisition,4,CS-,baseline,DO,23,healthy,1
s4,tools/pruner.jpg,baseline,6,CS+,acquisition,MN,9,healthy,0
s4,tools/microwave.jpg,extinction,5,CS+,extinction,MN,5,healthy,0
s4,tools/chainsaw.jpg,baseline,6,CS+,extinction,DO,4,healthy,1
s4,tools/cheesegrater.jpg,extinction,5,CS+,baseline,DO,7,healthy,1
s4,animals/carp.jpg,acquisition,7,CS-,acquisition,DO,9,healthy,1
s4,tools/spoon.jpg,baseline,7,CS+,acquisition,DO,17,healthy,1
s4,tools/stove.jpg,extinction,3,CS+,baseline,MN,8,healthy,0
s4,animals/aardvark.jpg,baseline,1,CS-,extinction,MO,17,healthy,0
s4,animals/caterpillarpeacockmoth.jpg,acquisition,3,CS-,baseline,DO,10,healthy,1
s4,tools/vegetablepeeler.jpg,extinction,2,CS+,acquisition,MO,5,healthy,0
s4,animals/assassinbug.jpg,baseline,5,CS-,acquisition,MN,2,healthy,0
s4,animals/zebra.jpg,acquisition,7,CS-,extinction,DO,24,healthy,1
s4,animals/quail.jpg,acquisition,5,CS-,baseline,MO,18,healthy,0
s4,animals/shark.jpg,acquisition,5,CS-,acquisition,DO,23,healthy,1
s4,animals/mahimahi.jpg,extinction,1,CS-,acquisition,DO,22,healthy,1
s4,animals/canary.jpg,extinction,6,CS-,extinction,DO,21,healthy,1
s4,tools/tubeflaring.jpg,acquisition,1,CS+,acquisition,MN,6,healthy,0
s4,tools/paintbrush.jpg,baseline,4,CS+,extinction,MO,20,healthy,0
s4,tools/faxmachine.jpg,extinction,6,CS+,baseline,DN,3,healthy,0
s4,animals/pigeon.jpg,baseline,4,CS-,baseline,DO,13,healthy,1
s4,animals/snapper.jpg,extinction,3,CS-,baseline,DO,24,healthy,1
s4,animals/elephantafrican.jpg,baseline,7,CS-,extinction,DO,2,healthy,1
s4,animals/mole.jpg,extinction,1,CS-,baseline,DO,12,healthy,1
s4,animals/goldfish.jpg,baseline,7,CS-,extinction,DO,13,healthy,1
s4,animals/hummingbird.jpg,acquisition,4,CS-,baseline,DO,16,healthy,1
s4,animals/perch.jpg,acquisition,5,CS-,extinction,MN,20,healthy,0
s4,tools/viceclamp.jpg,baseline,1,CS+,acquisition,MO,13,healthy,0
s4,tools/transmissionwrench.jpg,baseline,1,CS+,baseline,MN,13,healthy,0
s4,tools/solderingtorch.jpg,extinction,3,CS+,extinction,DO,23,healthy,1
s4,tools/woodchipper.jpg,acquisition,1,CS+,acquisition,MO,10,healthy,0
s4,tools/ladder.jpg,extinction,1,CS+,baseline,DN,12,healthy,0
s4,animals/racoon.jpg,acquisition,5,CS-,extinction,MO,18,healthy,0
s4,animals/reindeer.jpg,extinction,1,CS-,extinction,MO,12,healthy,0
s4,animals/leopard.jpg,acquisition,5,CS-,baseline,MN,6,healthy,0
s4,animals/porcupine.jpg,acquisition,2,CS-,baseline,DO,8,healthy,1
s4,animals/herculesbeetle.jpg,baseline,4,CS-,baseline,DO,11,healthy,1
