condition,gc,group,half,phase,quarter,scr,subject
CS-,control_CS-,control,1,extinction,3,0.13795004208333334,23
CS+,control_CS+,control,1,extinction,3,0.04518480566666666,24
CS-,control_CS-,control,1,extinction,3,0.0,24
CS+,control_CS+,control,1,extinction,3,0.0,25
CS-,control_CS-,control,1,extinction,3,0.0,25
CS+,control_CS+,control,1,extinction,3,0.2706924089166667,26
CS-,control_CS-,control,1,extinction,3,0.1815753074166667,26
CS+,ptsd_CS+,ptsd,1,extinction,3,0.0,101
CS-,ptsd_CS-,ptsd,1,extinction,3,0.0,101
CS+,ptsd_CS+,ptsd,1,extinction,3,0.0,102
CS-,ptsd_CS-,ptsd,1,extinction,3,0.0,102
CS+,ptsd_CS+,ptsd,1,extinction,3,,103
CS-,ptsd_CS-,ptsd,1,extinction,3,,103
CS+,ptsd_CS+,ptsd,1,extinction,3,0.2174106180833333,104
CS-,ptsd_CS-,ptsd,1,extinction,3,0.08428621874999999,104
CS+,ptsd_CS+,ptsd,1,extinction,3,0.0,105
CS-,ptsd_CS-,ptsd,1,extinction,3,0.0,105
CS+,ptsd_CS+,ptsd,1,extinction,3,0.12524396433333335,106
CS-,ptsd_CS-,ptsd,1,extinction,3,0.03809709816666666,106
CS+,ptsd_CS+,ptsd,1,extinction,3,0.22589688524999998,107
CS-,ptsd_CS-,ptsd,1,extinction,3,0.10560974883333334,107
CS+,ptsd_CS+,ptsd,1,extinction,3,0.12669189508333334,108
CS-,ptsd_CS-,ptsd,1,extinction,3,0.2587391875833333,108
CS+,ptsd_CS+,ptsd,1,extinction,3,0.09916062766666667,109
CS-,ptsd_CS-,ptsd,1,extinction,3,0.0,109
CS+,ptsd_CS+,ptsd,1,extinction,3,0.0,110
CS-,ptsd_CS-,ptsd,1,extinction,3,0.0,110
CS+,ptsd_CS+,ptsd,1,extinction,3,0.15901593725,111
CS-,ptsd_CS-,ptsd,1,extinction,3,0.5022181260833333,111
CS+,ptsd_CS+,ptsd,1,extinction,3,0.23272360283333335,112
CS-,ptsd_CS-,ptsd,1,extinction,3,0.2754880296666667,112
CS+,ptsd_CS+,ptsd,1,extinction,3,0.2433105012,113
CS-,ptsd_CS-,ptsd,1,extinction,3,0.0,113
CS+,ptsd_CS+,ptsd,1,extinction,3,0.08036375633333333,114
CS-,ptsd_CS-,ptsd,1,extinction,3,0.05368374466666667,114
CS+,ptsd_CS+,ptsd,1,extinction,3,0.2897510965833333,115
CS-,ptsd_CS-,ptsd,1,extinction,3,0.3430114846666667,115
CS+,ptsd_CS+,ptsd,1,extinction,3,0.44293534991666667,116
CS-,ptsd_CS-,ptsd,1,extinction,3,0.39992790150000007,116
CS+,ptsd_CS+,ptsd,1,extinction,3,0.10219060533333335,117
CS-,ptsd_CS-,ptsd,1,extinction,3,0.08379041316666667,117
CS+,ptsd_CS+,ptsd,1,extinction,3,0.3031579211666667,118
CS-,ptsd_CS-,ptsd,1,extinction,3,0.0,118
CS+,ptsd_CS+,ptsd,1,extinction,3,0.0,120
CS-,ptsd_CS-,ptsd,1,extinction,3,0.0,120
CS+,ptsd_CS+,ptsd,1,extinction,3,0.0,121
CS-,ptsd_CS-,ptsd,1,extinction,3,0.0,121
CS+,ptsd_CS+,ptsd,1,extinction,3,1.4236021651666668,122
CS-,ptsd_CS-,ptsd,1,extinction,3,0.3439305504166666,122
CS+,ptsd_CS+,ptsd,1,extinction,3,0.0,123
CS-,ptsd_CS-,ptsd,1,extinction,3,0.0,123
CS+,ptsd_CS+,ptsd,1,extinction,3,0.22910834141666667,124
CS-,ptsd_CS-,ptsd,1,extinction,3,0.20211470808333334,124
CS+,ptsd_CS+,ptsd,1,extinction,3,0.9968246671666666,125
CS-,ptsd_CS-,ptsd,1,extinction,3,0.11640383124999999,125
CS+,control_CS+,control,2,extinction,4,0.8268341978333335,1
CS-,control_CS-,control,2,extinction,4,0.6343207127500001,1
CS+,control_CS+,control,2,extinction,4,0.0,2
CS-,control_CS-,control,2,extinction,4,0.15616447275,2
CS+,control_CS+,control,2,extinction,4,0.0,3
CS-,control_CS-,control,2,extinction,4,0.12252895991666667,3
CS+,control_CS+,control,2,extinction,4,,4
CS-,control_CS-,control,2,extinction,4,,4
CS+,control_CS+,control,2,extinction,4,,5
CS-,control_CS-,control,2,extinction,4,,5
CS+,control_CS+,control,2,extinction,4,0.0,6
CS-,control_CS-,control,2,extinction,4,0.0,6
CS+,control_CS+,control,2,extinction,4,0.0,7
CS-,control_CS-,control,2,extinction,4,0.0,7
CS+,control_CS+,control,2,extinction,4,0.0,8
CS-,control_CS-,control,2,extinction,4,0.0,8
CS+,control_CS+,control,2,extinction,4,0.04048319266666667,9
CS-,control_CS-,control,2,extinction,4,0.0,9
CS+,control_CS+,control,2,extinction,4,0.09963660466666668,10
CS-,control_CS-,control,2,extinction,4,0.05737304825,10
CS+,control_CS+,control,2,extinction,4,0.04859126575,12
CS-,control_CS-,control,2,extinction,4,0.07105357916666667,12
CS+,control_CS+,control,2,extinction,4,0.4386276960833333,13
CS-,control_CS-,control,2,extinction,4,0.0,13
CS+,control_CS+,control,2,extinction,4,0.0,14
CS-,control_CS-,control,2,extinction,4,0.0,14
CS+,control_CS+,control,2,extinction,4,0.0,15
CS-,control_CS-,control,2,extinction,4,0.0,15
CS+,control_CS+,control,2,extinction,4,0.0,16
CS-,control_CS-,control,2,extinction,4,0.0,16
CS+,control_CS+,control,2,extinction,4,0.0,17
CS-,control_CS-,control,2,extinction,4,0.0,17
CS+,control_CS+,control,2,extinction,4,0.07993052541666666,18
CS-,control_CS-,control,2,extinction,4,0.0,18
CS+,control_CS+,control,2,extinction,4,0.0,19
CS-,control_CS-,control,2,extinction,4,0.0,19
CS+,control_CS+,control,2,extinction,4,0.0,20
CS-,control_CS-,control,2,extinction,4,0.04216370216666667,20
CS+,control_CS+,control,2,extinction,4,0.0,21
CS-,control_CS-,control,2,extinction,4,0.0,21
CS+,control_CS+,control,2,extinction,4,0.09287087808333333,23
CS-,control_CS-,control,2,extinction,4,0.09200694416666666,23
CS+,control_CS+,control,2,extinction,4,0.0,24
CS-,control_CS-,control,2,extinction,4,0.0,24
CS+,control_CS+,control,2,extinction,4,0.0,25
CS-,control_CS-,control,2,extinction,4,0.0,25
CS+,control_CS+,control,2,extinction,4,0.0,26
CS-,control_CS-,control,2,extinction,4,0.0,26
CS+,ptsd_CS+,ptsd,2,extinction,4,0.0,101
CS-,ptsd_CS-,ptsd,2,extinction,4,0.0,101
CS+,ptsd_CS+,ptsd,2,extinction,4,0.037638632666666665,102
CS-,ptsd_CS-,ptsd,2,extinction,4,0.0,102
CS+,ptsd_CS+,ptsd,2,extinction,4,,103
CS-,ptsd_CS-,ptsd,2,extinction,4,,103
CS+,ptsd_CS+,ptsd,2,extinction,4,0.0,104
CS-,ptsd_CS-,ptsd,2,extinction,4,0.0,104
CS+,ptsd_CS+,ptsd,2,extinction,4,0.12039599591666668,105
CS-,ptsd_CS-,ptsd,2,extinction,4,0.11316163466666666,105
CS+,ptsd_CS+,ptsd,2,extinction,4,0.11436789358333332,106
CS-,ptsd_CS-,ptsd,2,extinction,4,0.07936972816666667,106
CS+,ptsd_CS+,ptsd,2,extinction,4,0.1281871530833333,107
CS-,ptsd_CS-,ptsd,2,extinction,4,0.16159387691666668,107
CS+,ptsd_CS+,ptsd,2,extinction,4,0.0,108
CS-,ptsd_CS-,ptsd,2,extinction,4,0.0,108
CS+,ptsd_CS+,ptsd,2,extinction,4,0.13344689933333334,109
CS-,ptsd_CS-,ptsd,2,extinction,4,0.0,109
CS+,ptsd_CS+,ptsd,2,extinction,4,0.0,110
CS-,ptsd_CS-,ptsd,2,extinction,4,0.0,110
CS+,ptsd_CS+,ptsd,2,extinction,4,0.39334263166666666,111
CS-,ptsd_CS-,ptsd,2,extinction,4,0.34475663,111
CS+,ptsd_CS+,ptsd,2,extinction,4,0.0,112
CS-,ptsd_CS-,ptsd,2,extinction,4,0.3469937340833333,112
CS+,ptsd_CS+,ptsd,2,extinction,4,,113
CS-,ptsd_CS-,ptsd,2,extinction,4,,113
CS+,ptsd_CS+,ptsd,2,extinction,4,0.0,114
CS-,ptsd_CS-,ptsd,2,extinction,4,0.0,114
CS+,ptsd_CS+,ptsd,2,extinction,4,0.14787961000000002,115
CS-,ptsd_CS-,ptsd,2,extinction,4,0.17957530383333334,115
CS+,ptsd_CS+,ptsd,2,extinction,4,0.0,116
CS-,ptsd_CS-,ptsd,2,extinction,4,0.0,116
CS+,ptsd_CS+,ptsd,2,extinction,4,0.0,117
CS-,ptsd_CS-,ptsd,2,extinction,4,0.0,117
CS+,ptsd_CS+,ptsd,2,extinction,4,0.0,118
CS-,ptsd_CS-,ptsd,2,extinction,4,0.03996526266666667,118
CS+,ptsd_CS+,ptsd,2,extinction,4,0.0,120
CS-,ptsd_CS-,ptsd,2,extinction,4,0.0,120
CS+,ptsd_CS+,ptsd,2,extinction,4,0.0,121
CS-,ptsd_CS-,ptsd,2,extinction,4,0.0,121
CS+,ptsd_CS+,ptsd,2,extinction,4,0.22889366441666667,122
CS-,ptsd_CS-,ptsd,2,extinction,4,0.31002851091666667,122
CS+,ptsd_CS+,ptsd,2,extinction,4,0.055901699416666666,123
CS-,ptsd_CS-,ptsd,2,extinction,4,0.0,123
CS+,ptsd_CS+,ptsd,2,extinction,4,0.08130873941666666,124
CS-,ptsd_CS-,ptsd,2,extinction,4,0.0966451125,124
CS+,ptsd_CS+,ptsd,2,extinction,4,0.5153268946666666,125
CS-,ptsd_CS-,ptsd,2,extinction,4,0.19822459241666668,125
CS+,control_CS+,control,1,renewal,5,0.9854839015000001,1
CS-,control_CS-,control,1,renewal,5,0.9713197807500001,1
CS+,control_CS+,control,1,renewal,5,0.93464381575,2
CS-,control_CS-,control,1,renewal,5,0.38825998949999996,2
CS+,control_CS+,control,1,renewal,5,0.93722316525,3
CS-,control_CS-,control,1,renewal,5,0.67319079325,3
CS+,control_CS+,control,1,renewal,5,0.69901022925,4
CS-,control_CS-,control,1,renewal,5,0.28733691024999997,4
CS+,control_CS+,control,1,renewal,5,0.9429011055000001,5
CS-,control_CS-,control,1,renewal,5,0.38425847,5
CS+,control_CS+,control,1,renewal,5,0.0,6
CS-,control_CS-,control,1,renewal,5,0.0,6
CS+,control_CS+,control,1,renewal,5,0.0,7
CS-,control_CS-,control,1,renewal,5,0.0,7
CS+,control_CS+,control,1,renewal,5,0.31114792,8
CS-,control_CS-,control,1,renewal,5,0.532540631,8
CS+,control_CS+,control,1,renewal,5,0.8122501145,9
CS-,control_CS-,control,1,renewal,5,0.8127804005,9
CS+,control_CS+,control,1,renewal,5,0.6207986697500001,10
CS-,control_CS-,control,1,renewal,5,0.5898749655,10
CS+,control_CS+,control,1,renewal,5,0.0,12
CS-,control_CS-,control,1,renewal,5,0.14274102425000001,12
CS+,control_CS+,control,1,renewal,5,0.0,13
CS-,control_CS-,control,1,renewal,5,0.0,13
CS+,control_CS+,control,1,renewal,5,0.0,14
CS-,control_CS-,control,1,renewal,5,0.0,14
CS+,control_CS+,control,1,renewal,5,0.0,15
CS-,control_CS-,control,1,renewal,5,0.0,15
CS+,control_CS+,control,1,renewal,5,0.3481619115,16
CS-,control_CS-,control,1,renewal,5,0.0,16
CS+,control_CS+,control,1,renewal,5,0.1264911065,17
CS-,control_CS-,control,1,renewal,5,0.0,17
CS+,control_CS+,control,1,renewal,5,0.0,18
CS-,control_CS-,control,1,renewal,5,0.0,18
CS+,control_CS+,control,1,renewal,5,0.0,19
CS-,control_CS-,control,1,renewal,5,0.0,19
CS+,control_CS+,control,1,renewal,5,0.0,20
CS-,control_CS-,control,1,renewal,5,0.0,20
CS+,control_CS+,control,1,renewal,5,0.0,21
