,subject,encode_phase,condition,hit_rate,false_alarm_rate,corrected_recognition
203,112,extinction,CS-,0.16666666666666666,0.0,0.16666666666666666
205,113,acquisition,CS+,0.375,0.125,0.25
208,113,acquisition,CS-,0.25,0.0625,0.1875
204,113,baseline,CS+,0.3333333333333333,0.125,0.2083333333333333
207,113,baseline,CS-,0.2916666666666667,0.0625,0.2291666666666667
206,113,extinction,CS+,0.3333333333333333,0.125,0.2083333333333333
209,113,extinction,CS-,0.16666666666666666,0.0625,0.10416666666666666
211,114,acquisition,CS+,0.8333333333333334,0.20833333333333331,0.625
214,114,acquisition,CS-,0.4583333333333333,0.10416666666666667,0.35416666666666663
210,114,baseline,CS+,0.5833333333333334,0.20833333333333331,0.375
213,114,baseline,CS-,0.4166666666666667,0.10416666666666667,0.3125
212,114,extinction,CS+,0.625,0.20833333333333331,0.4166666666666666
215,114,extinction,CS-,0.16666666666666666,0.10416666666666667,0.062499999999999986
217,115,acquisition,CS+,1.0,0.14583333333333334,0.8541666666666666
220,115,acquisition,CS-,0.375,0.1875,0.1875
216,115,baseline,CS+,0.5,0.14583333333333334,0.35416666666666663
219,115,baseline,CS-,0.625,0.1875,0.4375
218,115,extinction,CS+,0.4583333333333333,0.14583333333333334,0.3125
221,115,extinction,CS-,0.375,0.1875,0.1875
223,116,acquisition,CS+,0.20833333333333331,0.02083333333333333,0.1875
226,116,acquisition,CS-,0.08333333333333333,0.0,0.08333333333333333
222,116,baseline,CS+,0.20833333333333331,0.02083333333333333,0.1875
225,116,baseline,CS-,0.16666666666666666,0.0,0.16666666666666666
224,116,extinction,CS+,0.04166666666666666,0.02083333333333333,0.02083333333333333
227,116,extinction,CS-,0.04166666666666666,0.0,0.04166666666666666
229,117,acquisition,CS+,0.75,0.08333333333333333,0.6666666666666666
232,117,acquisition,CS-,0.7916666666666666,0.22916666666666666,0.5625
228,117,baseline,CS+,0.4583333333333333,0.08333333333333333,0.375
231,117,baseline,CS-,0.6666666666666666,0.22916666666666666,0.4375
230,117,extinction,CS+,0.20833333333333331,0.08333333333333333,0.125
233,117,extinction,CS-,0.375,0.22916666666666666,0.14583333333333334
235,118,acquisition,CS+,0.4166666666666667,0.0,0.4166666666666667
238,118,acquisition,CS-,0.25,0.0,0.25
234,118,baseline,CS+,0.4583333333333333,0.0,0.4583333333333333
237,118,baseline,CS-,0.125,0.0,0.125
236,118,extinction,CS+,0.25,0.0,0.25
239,118,extinction,CS-,0.08333333333333333,0.0,0.08333333333333333
241,121,acquisition,CS+,0.9583333333333334,0.2916666666666667,0.6666666666666667
244,121,acquisition,CS-,0.9166666666666666,0.22916666666666666,0.6875
240,121,baseline,CS+,0.4166666666666667,0.2916666666666667,0.125
243,121,baseline,CS-,0.5,0.22916666666666666,0.27083333333333337
242,121,extinction,CS+,0.75,0.2916666666666667,0.4583333333333333
245,121,extinction,CS-,0.5833333333333334,0.22916666666666666,0.35416666666666674
247,122,acquisition,CS+,0.7083333333333334,0.3958333333333333,0.3125000000000001
